[Header]
TITLE,default name
FILEOPENTIME,1636879688.00,11/14/2021,10:48 AM
BYAPP,Resistivity,2.0,1.0
INFO,BRT Module,BRT_MODULE_NAME
INFO,3101-225 D0,BRT_HW_VERSION
INFO,BRT Module 01.03.04,BRT_SOFTWARE_VERSION
INFO,BRT282,BRT_SERIAL_NUMBER
INFO,cernox,Sample1 Name
INFO,1,Sample1 Cross Section
INFO,1,Sample1 Length
INFO,Ohm,Sample1 Units
INFO,,Sample2 Name
INFO,1,Sample2 Cross Section
INFO,1,Sample2 Length
INFO,Ohm-m,Sample2 Units
INFO,,Sample3 Name
INFO,1,Sample3 Cross Section
INFO,1,Sample3 Length
INFO,Ohm-m,Sample3 Units
INFO,,Sample4 Name
INFO,1,Sample4 Cross Section
INFO,1,Sample4 Length
INFO,Ohm-m,Sample4 Units
FIELDGROUP,Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP,Resistivity
STARTUPAXIS,X,2,LINEAR,AUTO
STARTUPAXIS,Y1,7,LINEAR,AUTO
STARTUPAXIS,Y2,9,LINEAR,AUTO
STARTUPAXIS,Y3,11,LINEAR,AUTO
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES,ALL_LINES
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,27514391.172,,300.001297607422,-0.145506376922131,0,81.0635736083984,1.99990558624268,,,,,,,0.00727188529246137,,,,25,81.0635736083984,,,
,27514688.781,,278.92716796875,-0.398875693082809,0,86.0875045776367,1.99990558624268,,,,,,,0.00661663213208244,,,,25,86.0875045776367,,,
,27514948.984,,259.253229980469,-0.508186445236206,0,91.5834732055664,1.99990558624268,,,,,,,0.0093356237328534,,,,25,91.5834732055664,,,
,27515207.797,,240.968284912109,-0.405390902757645,0,97.4765948486328,1.99990558624268,,,,,,,0.0100544441756994,,,,25,97.4765948486328,,,
,27515463.156,,223.967146606445,-0.268571474552155,0,103.796452331543,1.99990558624268,,,,,,,0.00651402129964483,,,,25,103.796452331543,,,
,27515716.031,,208.168659667969,-0.280877981185913,0,110.536156311035,1.99990558624268,,,,,,,0.00925538374058602,,,,25,110.536156311035,,,
,27515958.172,,193.483121337891,-0.295356231927872,0,117.711929016113,1.99990558624268,,,,,,,0.00691829661614048,,,,25,117.711929016113,,,
,27516192.187,,179.837614746094,-0.3634039914608,0,125.352078552246,1.99990558624268,,,,,,,0.00931621503005805,,,,25,125.352078552246,,,
,27516415.672,,167.15346862793,-0.374262681007385,0,133.416947021484,1.99990558624268,,,,,,,0.00879178278270706,,,,25,133.416947021484,,,
,27516631.656,,155.358583374023,-0.395256131887436,0,142.016070556641,1.99990558624268,,,,,,,0.00932411061377491,,,,25,142.016070556641,,,
,27516838.203,,144.401046142578,-0.420593062639236,0,151.078886108398,1.99990558624268,,,,,,,0.0109274674894138,,,,25,151.078886108398,,,
,27517035.812,,134.210193481445,-0.406114819049835,0,160.68499206543,1.99990558624268,,,,,,,0.00904761816243293,,,,25,160.68499206543,,,
,27517225.766,,124.740456848145,-0.41190612077713,0,170.803991699219,1.99990558624268,,,,,,,0.0103303375404052,,,,25,170.803991699219,,,
,27517411.531,,115.936872253418,-0.187493290603161,0,181.522044067383,1.99990558624268,,,,,,,0.0123733450178869,,,,25,181.522044067383,,,
,27517588.922,,107.75576385498,-0.341686623096466,0,192.846292114258,1.99990558624268,,,,,,,0.0113503437329418,,,,25,192.846292114258,,,
