[Header]
TITLE,default name
FILEOPENTIME,1638087559.00,11/28/2021,10:19 AM
BYAPP,Resistivity,2.0,1.0
INFO,BRT Module,BRT_MODULE_NAME
INFO,3101-225 D0,BRT_HW_VERSION
INFO,BRT Module 01.03.04,BRT_SOFTWARE_VERSION
INFO,BRT282,BRT_SERIAL_NUMBER
INFO,,Sample1 Name
INFO,1,Sample1 Cross Section
INFO,1,Sample1 Length
INFO,Ohm-m,Sample1 Units
INFO,,Sample2 Name
INFO,1,Sample2 Cross Section
INFO,1,Sample2 Length
INFO,Ohm-m,Sample2 Units
INFO,,Sample3 Name
INFO,1,Sample3 Cross Section
INFO,1,Sample3 Length
INFO,Ohm,Sample3 Units
INFO,,Sample4 Name
INFO,1,Sample4 Cross Section
INFO,1,Sample4 Length
INFO,Ohm-m,Sample4 Units
FIELDGROUP,Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP,Resistivity
STARTUPAXIS,X,2,LINEAR,AUTO
STARTUPAXIS,Y1,7,LINEAR,AUTO
STARTUPAXIS,Y2,9,LINEAR,AUTO
STARTUPAXIS,Y3,11,LINEAR,AUTO
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES,ALL_LINES
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,28722609.047,,300.000318603516,-1.#QNAN,2.60480037539423e-009,,,,,75809.2746875,9.99890232086182,,,,,0.837932736776828,,25,,,75809.2746875,
,28722960.719,,278.914559326172,-1.#QNAN,2.60480037539423e-009,,,,,77548.7503125,9.99890232086182,,,,,33.1749723105182,,25,,,77548.7503125,
,28723277.625,,259.251628417969,-1.#QNAN,2.60480037539423e-009,,,,,80395.6659375,9.99890232086182,,,,,2.23673747618122,,25,,,80395.6659375,
,28723579.812,,240.980966186523,-1.#QNAN,2.60480037539423e-009,,,,,82578.7675,9.99890232086182,,,,,0.906145287087581,,25,,,82578.7675,
,28723868.109,,223.990852050781,-1.#QNAN,2.60480037539423e-009,,,,,84517.36125,9.99890232086182,,,,,1.02651909630465,,25,,,84517.36125,
,28724140.344,,208.198641967773,-1.#QNAN,2.60480037539423e-009,,,,,86323.5565625,9.99890232086182,,,,,4.33099083063128,,25,,,86323.5565625,
,28724397.797,,193.512828979492,-1.#QNAN,2.60480037539423e-009,,,,,288571.965,9.99890232086182,,,,,0.765575173761328,,25,,,288571.965,
,28724640.406,,179.87932434082,-1.#QNAN,2.60480037539423e-009,,,,,290124.0225,9.99890232086182,,,,,0.817694856245096,,25,,,290124.0225,
,28724869.937,,167.198514404297,-1.#QNAN,2.60480037539423e-009,,,,,291546.82,9.99890232086182,,,,,0.925682352312505,,25,,,291546.82,
,28725086.672,,155.409031982422,-1.#QNAN,2.60480037539423e-009,,,,,292859.4225,9.99890232086182,,,,,0.795015446734763,,25,,,292859.4225,
,28725292.719,,144.450285644531,-1.#QNAN,2.60480037539423e-009,,,,,294069.78125,9.99890232086182,,,,,1.24342140956227,,25,,,294069.78125,
,28725487.594,,134.265693359375,-1.#QNAN,2.60480037539423e-009,,,,,295174.7475,9.99890232086182,,,,,0.726772483097358,,25,,,295174.7475,
,28725673.891,,124.801788330078,-1.#QNAN,2.60480037539423e-009,,,,,296189.425,9.99890232086182,,,,,0.789342849330418,,25,,,296189.425,
,28725849.531,,116.004172668457,-1.#QNAN,2.60480037539423e-009,,,,,297123.58,9.99890232086182,,,,,0.890625,,25,,,297123.58,
,28726019.234,,107.821095581055,-1.#QNAN,2.60480037539423e-009,,,,,297977.1675,9.99890232086182,,,,,0.771570901002259,,25,,,297977.1675,
,28726180.672,,100.222727050781,-1.#QNAN,2.60480037539423e-009,,,,,298754.39625,9.99890232086182,,,,,0.683783455819988,,25,,,298754.39625,
